DSI,Relation,Dis,Source,Effectiveness Rating,Source_Description
DSI005633,is_effective_for,DIS000094,MSKCC,,
DSI005720,is_effective_for,DIS000076,MSKCC,,
DSI005720,is_effective_for,DIS000015,MSKCC,,
DSI005720,is_effective_for,DIS000018,MSKCC,,
DSI005720,is_effective_for,DIS000028,MSKCC,,
DSI007828,is_effective_for,DIS000065,MSKCC,,
DSI007828,is_effective_for,DIS000006,MSKCC,,
DSI007828,is_effective_for,DIS000037,MSKCC,,
DSI007828,is_effective_for,DIS000046,MSKCC,,
DSI007828,is_effective_for,DIS000095,MSKCC,,
DSI001283,is_effective_for,DIS000006,MSKCC,,
DSI005682,is_effective_for,DIS000096,MSKCC,,
DSI005682,is_effective_for,DIS000068,MSKCC,,
DSI005713,is_effective_for,DIS000006,MSKCC,,
DSI005713,is_effective_for,DIS000019,MSKCC,,
DSI005713,is_effective_for,DIS000031,MSKCC,,
DSI005713,is_effective_for,DIS000097,MSKCC,,
DSI005678,is_effective_for,DIS000049,MSKCC,,
DSI005678,is_effective_for,DIS000048,MSKCC,,
DSI000793,is_effective_for,DIS000083,MSKCC,,
DSI000793,is_effective_for,DIS000054,MSKCC,,
DSI001310,is_effective_for,DIS000098,MSKCC,,
DSI001310,is_effective_for,DIS000018,MSKCC,,
DSI001310,is_effective_for,DIS000032,MSKCC,,
DSI003776,is_effective_for,DIS000032,MSKCC,,
DSI002496,is_effective_for,DIS000012,MSKCC,,
DSI002496,is_effective_for,DIS000006,MSKCC,,
DSI002496,is_effective_for,DIS000018,MSKCC,,
DSI002496,is_effective_for,DIS000099,MSKCC,,
DSI002496,is_effective_for,DIS000100,MSKCC,,
DSI005737,is_effective_for,DIS000041,MSKCC,,
DSI005737,is_effective_for,DIS000082,MSKCC,,
DSI005737,is_effective_for,DIS000083,MSKCC,,
DSI005737,is_effective_for,DIS000013,MSKCC,,
DSI005770,is_effective_for,DIS000064,MSKCC,,
DSI005770,is_effective_for,DIS000092,MSKCC,,
DSI007829,is_effective_for,DIS000006,MSKCC,,
DSI002390,is_effective_for,DIS000045,MSKCC,,
DSI002390,is_effective_for,DIS000031,MSKCC,,
DSI002390,is_effective_for,DIS000047,MSKCC,,
DSI000068,is_effective_for,DIS000012,MSKCC,,
DSI000068,is_effective_for,DIS000015,MSKCC,,
DSI000068,is_effective_for,DIS000032,MSKCC,,
DSI000068,is_effective_for,DIS000013,MSKCC,,
DSI000068,is_effective_for,DIS000018,MSKCC,,
DSI005929,is_effective_for,DIS000004,MSKCC,,
DSI005929,is_effective_for,DIS000031,MSKCC,,
DSI005929,is_effective_for,DIS000048,MSKCC,,
DSI005929,is_effective_for,DIS000058,MSKCC,,
DSI000569,is_effective_for,DIS000006,MSKCC,,
DSI000569,is_effective_for,DIS000012,MSKCC,,
DSI000569,is_effective_for,DIS000032,MSKCC,,
DSI000014,is_effective_for,DIS000065,MSKCC,,
DSI000014,is_effective_for,DIS000006,MSKCC,,
DSI000014,is_effective_for,DIS000033,MSKCC,,
DSI005944,is_effective_for,DIS000041,MSKCC,,
DSI005944,is_effective_for,DIS000008,MSKCC,,
DSI005944,is_effective_for,DIS000072,MSKCC,,
DSI005944,is_effective_for,DIS000024,MSKCC,,
DSI002212,is_effective_for,DIS000018,MSKCC,,
DSI002212,is_effective_for,DIS000101,MSKCC,,
DSI002212,is_effective_for,DIS000024,MSKCC,,
DSI000045,is_effective_for,DIS000033,MSKCC,,
DSI000045,is_effective_for,DIS000032,MSKCC,,
DSI000045,is_effective_for,DIS000024,MSKCC,,
DSI000045,is_effective_for,DIS000013,MSKCC,,
DSI000045,is_effective_for,DIS000006,MSKCC,,
DSI007830,is_effective_for,DIS000006,MSKCC,,
DSI007830,is_effective_for,DIS000102,MSKCC,,
DSI006097,is_effective_for,DIS000031,MSKCC,,
DSI006097,is_effective_for,DIS000006,MSKCC,,
DSI007831,is_effective_for,DIS000016,MSKCC,,
DSI007831,is_effective_for,DIS000031,MSKCC,,
DSI007831,is_effective_for,DIS000041,MSKCC,,
DSI007831,is_effective_for,DIS000023,MSKCC,,
DSI007831,is_effective_for,DIS000006,MSKCC,,
DSI007831,is_effective_for,DIS000033,MSKCC,,
DSI007831,is_effective_for,DIS000080,MSKCC,,
DSI007831,is_effective_for,DIS000012,MSKCC,,
DSI007831,is_effective_for,DIS000024,MSKCC,,
DSI007831,is_effective_for,DIS000086,MSKCC,,
DSI007831,is_effective_for,DIS000037,MSKCC,,
DSI007831,is_effective_for,DIS000004,MSKCC,,
DSI007831,is_effective_for,DIS000046,MSKCC,,
DSI007831,is_effective_for,DIS000058,MSKCC,,
DSI007831,is_effective_for,DIS000103,MSKCC,,
DSI003104,is_effective_for,DIS000031,MSKCC,,
DSI003104,is_effective_for,DIS000104,MSKCC,,
DSI003519,is_effective_for,DIS000038,MSKCC,,
DSI003519,is_effective_for,DIS000093,MSKCC,,
DSI003519,is_effective_for,DIS000105,MSKCC,,
DSI000074,is_effective_for,DIS000083,MSKCC,,
DSI000074,is_effective_for,DIS000012,MSKCC,,
DSI000074,is_effective_for,DIS000006,MSKCC,,
DSI000074,is_effective_for,DIS000026,MSKCC,,
DSI006073,is_effective_for,DIS000082,MSKCC,,
DSI006073,is_effective_for,DIS000106,MSKCC,,
DSI000007,is_effective_for,DIS000018,MSKCC,,
DSI000007,is_effective_for,DIS000028,MSKCC,,
DSI000007,is_effective_for,DIS000107,MSKCC,,
DSI000158,is_effective_for,DIS000077,MSKCC,,
DSI000158,is_effective_for,DIS000013,MSKCC,,
DSI006060,is_effective_for,DIS000108,MSKCC,,
DSI006060,is_effective_for,DIS000013,MSKCC,,
DSI004644,is_effective_for,DIS000032,MSKCC,,
DSI004644,is_effective_for,DIS000018,MSKCC,,
DSI004644,is_effective_for,DIS000023,MSKCC,,
DSI001261,is_effective_for,DIS000006,MSKCC,,
DSI001261,is_effective_for,DIS000013,MSKCC,,
DSI004635,is_effective_for,DIS000006,MSKCC,,
DSI000063,is_effective_for,DIS000053,MSKCC,,
DSI006070,is_effective_for,DIS000109,MSKCC,,
DSI006070,is_effective_for,DIS000031,MSKCC,,
DSI006070,is_effective_for,DIS000060,MSKCC,,
DSI006070,is_effective_for,DIS000032,MSKCC,,
DSI004616,is_effective_for,DIS000033,MSKCC,,
DSI004616,is_effective_for,DIS000024,MSKCC,,
DSI007833,is_effective_for,DIS000110,MSKCC,,
DSI007834,is_effective_for,DIS000016,MSKCC,,
DSI007834,is_effective_for,DIS000052,MSKCC,,
DSI007834,is_effective_for,DIS000018,MSKCC,,
DSI007834,is_effective_for,DIS000000,MSKCC,,
DSI007834,is_effective_for,DIS000001,MSKCC,,
DSI007834,is_effective_for,DIS000019,MSKCC,,
DSI006181,is_effective_for,DIS000031,MSKCC,,
DSI006181,is_effective_for,DIS000012,MSKCC,,
DSI006225,is_effective_for,DIS000038,MSKCC,,
DSI006225,is_effective_for,DIS000111,MSKCC,,
DSI006225,is_effective_for,DIS000062,MSKCC,,
DSI006225,is_effective_for,DIS000060,MSKCC,,
DSI007835,is_effective_for,DIS000006,MSKCC,,
DSI007836,is_effective_for,DIS000013,MSKCC,,
DSI007836,is_effective_for,DIS000024,MSKCC,,
DSI000756,is_effective_for,DIS000112,MSKCC,,
DSI000756,is_effective_for,DIS000113,MSKCC,,
DSI000756,is_effective_for,DIS000077,MSKCC,,
DSI007837,is_effective_for,DIS000006,MSKCC,,
DSI007838,is_effective_for,DIS000006,MSKCC,,
DSI007838,is_effective_for,DIS000018,MSKCC,,
DSI007838,is_effective_for,DIS000058,MSKCC,,
DSI003257,is_effective_for,DIS000006,MSKCC,,
DSI003257,is_effective_for,DIS000054,MSKCC,,
DSI000882,is_effective_for,DIS000006,MSKCC,,
DSI000882,is_effective_for,DIS000019,MSKCC,,
DSI000882,is_effective_for,DIS000033,MSKCC,,
DSI000882,is_effective_for,DIS000001,MSKCC,,
DSI000882,is_effective_for,DIS000114,MSKCC,,
DSI001172,is_effective_for,DIS000006,MSKCC,,
DSI000660,is_effective_for,DIS000115,MSKCC,,
DSI000660,is_effective_for,DIS000013,MSKCC,,
DSI003545,is_effective_for,DIS000006,MSKCC,,
DSI003545,is_effective_for,DIS000015,MSKCC,,
DSI003545,is_effective_for,DIS000011,MSKCC,,
DSI003545,is_effective_for,DIS000116,MSKCC,,
DSI003545,is_effective_for,DIS000082,MSKCC,,
DSI003545,is_effective_for,DIS000057,MSKCC,,
DSI003545,is_effective_for,DIS000013,MSKCC,,
DSI003545,is_effective_for,DIS000040,MSKCC,,
DSI007839,is_effective_for,DIS000006,MSKCC,,
DSI007839,is_effective_for,DIS000033,MSKCC,,
DSI007839,is_effective_for,DIS000117,MSKCC,,
DSI004194,is_effective_for,DIS000023,MSKCC,,
DSI004194,is_effective_for,DIS000006,MSKCC,,
DSI004194,is_effective_for,DIS000012,MSKCC,,
DSI004194,is_effective_for,DIS000024,MSKCC,,
DSI006345,is_effective_for,DIS000000,MSKCC,,
DSI003263,is_effective_for,DIS000118,MSKCC,,
DSI003263,is_effective_for,DIS000057,MSKCC,,
DSI003263,is_effective_for,DIS000012,MSKCC,,
DSI000205,is_effective_for,DIS000000,MSKCC,,
DSI000205,is_effective_for,DIS000006,MSKCC,,
DSI000205,is_effective_for,DIS000009,MSKCC,,
DSI003389,is_effective_for,DIS000000,MSKCC,,
DSI003389,is_effective_for,DIS000006,MSKCC,,
DSI003389,is_effective_for,DIS000001,MSKCC,,
DSI003389,is_effective_for,DIS000004,MSKCC,,
DSI006405,is_effective_for,DIS000006,MSKCC,,
DSI006405,is_effective_for,DIS000032,MSKCC,,
DSI006405,is_effective_for,DIS000013,MSKCC,,
DSI000230,is_effective_for,DIS000012,MSKCC,,
DSI000230,is_effective_for,DIS000119,MSKCC,,
DSI004181,is_effective_for,DIS000015,MSKCC,,
DSI004181,is_effective_for,DIS000011,MSKCC,,
DSI004181,is_effective_for,DIS000082,MSKCC,,
DSI004181,is_effective_for,DIS000018,MSKCC,,
DSI000325,is_effective_for,DIS000006,MSKCC,,
DSI000325,is_effective_for,DIS000120,MSKCC,,
DSI007840,is_effective_for,DIS000006,MSKCC,,
DSI001336,is_effective_for,DIS000041,MSKCC,,
DSI001336,is_effective_for,DIS000001,MSKCC,,
DSI001336,is_effective_for,DIS000104,MSKCC,,
DSI001336,is_effective_for,DIS000018,MSKCC,,
