DSP,Relation,DSI,Source
DSP000093,has_ingredient,DSI000066,NHP
DSP000093,has_ingredient,DSI000158,NHP
DSP000093,has_ingredient,DSI000190,NHP
DSP000093,has_ingredient,DSI000191,NHP
DSP000093,has_ingredient,DSI000192,NHP
DSP000093,has_ingredient,DSI000193,NHP
DSP000094,has_ingredient,DSI000012,NHP
DSP000094,has_ingredient,DSI000082,NHP
DSP000094,has_ingredient,DSI000174,NHP
DSP000094,has_ingredient,DSI000194,NHP
DSP000094,has_ingredient,DSI000014,NHP
DSP000094,has_ingredient,DSI000195,NHP
DSP000094,has_ingredient,DSI000161,NHP
DSP000094,has_ingredient,DSI000096,NHP
DSP000094,has_ingredient,DSI000162,NHP
DSP000094,has_ingredient,DSI000018,NHP
DSP000094,has_ingredient,DSI000019,NHP
DSP000094,has_ingredient,DSI000196,NHP
DSP000094,has_ingredient,DSI000020,NHP
DSP000094,has_ingredient,DSI000021,NHP
DSP000094,has_ingredient,DSI000022,NHP
DSP000094,has_ingredient,DSI000006,NHP
DSP000095,has_ingredient,DSI000197,NHP
DSP000095,has_ingredient,DSI000084,NHP
DSP000095,has_ingredient,DSI000198,NHP
DSP000095,has_ingredient,DSI000199,NHP
DSP000096,has_ingredient,DSI000200,NHP
DSP000096,has_ingredient,DSI000201,NHP
DSP000096,has_ingredient,DSI000172,NHP
DSP000096,has_ingredient,DSI000202,NHP
DSP000096,has_ingredient,DSI000066,NHP
DSP000096,has_ingredient,DSI000156,NHP
DSP000096,has_ingredient,DSI000203,NHP
DSP000096,has_ingredient,DSI000204,NHP
DSP000096,has_ingredient,DSI000073,NHP
DSP000096,has_ingredient,DSI000205,NHP
DSP000096,has_ingredient,DSI000160,NHP
DSP000096,has_ingredient,DSI000074,NHP
DSP000096,has_ingredient,DSI000063,NHP
DSP000096,has_ingredient,DSI000206,NHP
DSP000096,has_ingredient,DSI000207,NHP
DSP000096,has_ingredient,DSI000095,NHP
DSP000096,has_ingredient,DSI000208,NHP
DSP000096,has_ingredient,DSI000077,NHP
DSP000097,has_ingredient,DSI000209,NHP
DSP000097,has_ingredient,DSI000069,NHP
DSP000097,has_ingredient,DSI000210,NHP
DSP000097,has_ingredient,DSI000087,NHP
DSP000097,has_ingredient,DSI000211,NHP
DSP000097,has_ingredient,DSI000212,NHP
DSP000097,has_ingredient,DSI000043,NHP
DSP000097,has_ingredient,DSI000213,NHP
DSP000097,has_ingredient,DSI000214,NHP
DSP000098,has_ingredient,DSI000056,NHP
DSP000099,has_ingredient,DSI000215,NHP
DSP000099,has_ingredient,DSI000216,NHP
DSP000099,has_ingredient,DSI000217,NHP
DSP000100,has_ingredient,DSI000218,NHP
DSP000101,has_ingredient,DSI000219,NHP
DSP000101,has_ingredient,DSI000047,NHP
DSP000101,has_ingredient,DSI000220,NHP
DSP000101,has_ingredient,DSI000221,NHP
DSP000101,has_ingredient,DSI000198,NHP
DSP000102,has_ingredient,DSI000222,NHP
DSP000102,has_ingredient,DSI000047,NHP
DSP000102,has_ingredient,DSI000223,NHP
DSP000102,has_ingredient,DSI000224,NHP
DSP000103,has_ingredient,DSI000225,NHP
DSP000103,has_ingredient,DSI000226,NHP
DSP000103,has_ingredient,DSI000227,NHP
DSP000104,has_ingredient,DSI000228,NHP
DSP000105,has_ingredient,DSI000155,NHP
DSP000105,has_ingredient,DSI000158,NHP
DSP000105,has_ingredient,DSI000229,NHP
DSP000105,has_ingredient,DSI000230,NHP
DSP000105,has_ingredient,DSI000190,NHP
DSP000105,has_ingredient,DSI000231,NHP
DSP000105,has_ingredient,DSI000161,NHP
DSP000105,has_ingredient,DSI000188,NHP
DSP000105,has_ingredient,DSI000232,NHP
DSP000105,has_ingredient,DSI000233,NHP
DSP000105,has_ingredient,DSI000162,NHP
DSP000105,has_ingredient,DSI000163,NHP
DSP000106,has_ingredient,DSI000046,NHP
DSP000106,has_ingredient,DSI000061,NHP
DSP000106,has_ingredient,DSI000234,NHP
DSP000106,has_ingredient,DSI000003,NHP
DSP000106,has_ingredient,DSI000235,NHP
DSP000106,has_ingredient,DSI000161,NHP
DSP000106,has_ingredient,DSI000236,NHP
DSP000106,has_ingredient,DSI000041,NHP
DSP000106,has_ingredient,DSI000006,NHP
DSP000107,has_ingredient,DSI000047,NHP
DSP000107,has_ingredient,DSI000228,NHP
DSP000107,has_ingredient,DSI000237,NHP
DSP000108,has_ingredient,DSI000238,NHP
DSP000109,has_ingredient,DSI000116,NHP
DSP000109,has_ingredient,DSI000239,NHP
DSP000109,has_ingredient,DSI000212,NHP
DSP000110,has_ingredient,DSI000240,NHP
DSP000111,has_ingredient,DSI000241,NHP
DSP000112,has_ingredient,DSI000242,NHP
DSP000113,has_ingredient,DSI000059,NHP
DSP000113,has_ingredient,DSI000016,NHP
DSP000113,has_ingredient,DSI000243,NHP
DSP000113,has_ingredient,DSI000244,NHP
DSP000113,has_ingredient,DSI000046,NHP
